# Source: https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
# Extracted from the public HTML wordlist page; duplicate parts of speech are deduplicated to the lowest CEFR level.
# Input SHA-256: 74b471082c6b02ce3bf51e662c4b63a86905d1f4e2d6eed0db480b8e705d0b26
word,cefr,oxford3000,oxford5000
a,a1,a1,a1
abandon,b2,b2,b2
ability,a2,a2,a2
able,a2,a2,a2
about,a1,a1,a1
above,a1,a1,a1
abroad,a2,a2,a2
absolute,b2,b2,b2
absolutely,b1,b1,b1
academic,b1,b1,b1
accept,a2,a2,a2
acceptable,b2,b2,b2
access,b1,b1,b1
accident,a2,a2,a2
accommodation,b1,b1,b1
accompany,b2,b2,b2
according to,a2,a2,a2
account,b1,b1,b1
accurate,b2,b2,b2
accuse,b2,b2,b2
achieve,a2,a2,a2
achievement,b1,b1,b1
acknowledge,b2,b2,b2
acquire,b2,b2,b2
across,a1,a1,a1
act,a2,a2,a2
action,a1,a1,a1
active,a2,a2,a2
activity,a1,a1,a1
actor,a1,a1,a1
actress,a1,a1,a1
actual,b2,b2,b2
actually,a2,a2,a2
ad,b1,b1,b1
adapt,b2,b2,b2
add,a1,a1,a1
addition,b1,b1,b1
additional,b2,b2,b2
address,a1,a1,a1
administration,b2,b2,b2
admire,b1,b1,b1
admit,b1,b1,b1
adopt,b2,b2,b2
adult,a1,a1,a1
advance,b2,b2,b2
advanced,b1,b1,b1
advantage,a2,a2,a2
adventure,a2,a2,a2
advertise,a2,a2,a2
advertisement,a2,a2,a2
advertising,a2,a2,a2
advice,a1,a1,a1
advise,b1,b1,b1
affair,b2,b2,b2
affect,a2,a2,a2
afford,b1,b1,b1
afraid,a1,a1,a1
after,a1,a1,a1
afternoon,a1,a1,a1
afterwards,b2,b2,b2
again,a1,a1,a1
against,a2,a2,a2
age,a1,a1,a1
aged,b1,b1,b1
agency,b2,b2,b2
agenda,b2,b2,b2
agent,b1,b1,b1
aggressive,b2,b2,b2
ago,a1,a1,a1
agree,a1,a1,a1
agreement,b1,b1,b1
